ProjectName,content type,repositoryName,html_url,Organization,description,Participants,pushed_at,git_url,,
Data Discovery Studio (CINERGI) crawler,application,CINERGIWebCrawler,https://github.com/RockyCal/CINERGIWebCrawler,EarthCube Data Discovery Studio (CINERGI),"Crawler for the EarthCube - CINERGI project to crawl URLS.  This crawler/scraper is meant to gather metadata from earth science resources.  Dependencies are Python 3.4, and the following libraries: xml.etree.ElementTree, urllib.request, urllib.parse, re and bs4. Python code. 0 Releases.","Raquel (Rocky), Anoushka Bose, Nikov Nizh, Sigha ",2015-01-15T20:05:14Z,git://github.com/RockyCal/CINERGIWebCrawler.git,,
GeoCODES GUI client,web site,client,https://github.com/earthcubearchitecture-project418gui/client,EarthCube GeoCODES,"Javascript, CSS code for web application to interact with GUI server for generating new JSON-LD documents using schema.org vocabulary to document EarthCube resources. Some documentation for installation at https://github.com/earthcubearchitecture-project418gui/documentation.  Application uses templates housed at https://github.com/earthcubearchitecture-project418gui/jsonld_templates. See project page at https://www.earthcube.org/p418gui. 0 Releases. No Readme.","Eric Lingerfelt, Alex McNurlan ",9/3/2019,https://github.com/earthcubearchitecture-project418gui/client.git,,
CyberWay project,project management,CyberWay,https://github.com/CSISS/CyberWay,EarthCube CyberWay,"NSF EarthCube Funded Project. The aim is to connect Earth observations, polar science outcomes, and climate model outcomes via the EarthCube architecture. Project duration 10/1/2017-9/30/2019. Repo contains project meeting minutes, annual reports, Web site code(?), .war file for CyberWay.  0 Releases.  Project web site http://cube.csiss.gmu.edu/CyberWay","PI:  Dr. Liping Di;  Co-I: James Kinter,  David Bromwich, Eugene Yu;  Implementation Leader: Ziheng Sun; Organization participation:  GMU CSISS, COLA, OSU Byrd Center; Collaborators:  Michael D. Daniels (NCAR/EOL, Chords), Dr. Mohan Ramamurthy (Unidata, GeoWS)",2019-03-12T15:46:43Z,git://github.com/CSISS/CyberWay.git,,
Critical Zone Integrative Microbial Ecology Activity,documentation; notebooks,CZIMEA,https://github.com/BiG-CZ/CZIMEA,EarthCube CZIMEA Integrative activity,"CZIMEA: Critical Zone Integrative Microbial Ecology Activity. An EarthCube Integrative Activities project that's a BiG-CZ partner. Repo has links to project documents, and Jupyter notebook that loads sampling metadata into CZIMEA ODM2 database, using odm2api. Uses czimea_dataload.py module.  0 Releases. Project appears dormant.","Emilio Mayorga,  Landung Setiawan, Folker Meyer",2021-01-29T23:33:35Z,git://github.com/BiG-CZ/CZIMEA.git,,
GeoLINK harvested DataONE Linked Open Data graph,data,d1lod,https://github.com/ec-geolink/d1lod,EarthCube GeoLink,This repository contains a deployable service that continuously updates the DataOne Linked Open Data graph for its part as a provider of data for the GeoLink project. The service uses Docker Compose to manage a set of Docker containers that run the service. The service is intended to be deployed to a virtual machine and run with Docker Compose. 0 Releases.,"Bryce Mecum, Rushiraj Nenuji, Matt Jones",6/7/2019,https://github.com/ec-geolink/d1lod.git,,
GeoLink Design,project management,design,https://github.com/ec-geolink/design,EarthCube GeoLink,Design information about the EarthCube Geolink project.  See website at http://www.geolink.org/. 0 Releases. No Readme content.,"Adila Krisnadhi, Bryce Mecum, Adam Shepherd, Matt Jones, Peng Ji, Doug Fils, YingJie Hu, Tom Narok, Julie McMurry ",2018-01-04T01:10:03Z,git://github.com/ec-geolink/design.git,,
DRILSDOWN project,application,drilsdown,https://github.com/Unidata/drilsdown,EarthCube DRILSDOWN,"Drawing Rich Integrated Lat-lon- time Samples from Datasets Online into Working Notebooks. DRILSDOWN (Drawing Rich Integrated Lat-lon-time Subsets from Dataservers Online into Working Notebooks) is a project to facilitate access to detailed visualizations (in the Integrated Data Viewer, IDV) of Cases of Interest (user-defined) within a Python-based geo-space x time statistical data analyses -- if the data for such visulaizations are available online in nice aggregated repositories. 1 Release.  Python code, documentation. Documentation at https://unidata.github.io/drilsdown/.","Brian Mapes, Cece Hedrick, Suvarchal Kumar Cheedela, Jeff McWhirter, Yuan Ho",2/18/2020,https://github.com/Unidata/drilsdown.git,,
EarthCube Organization ,project management,earthcube,https://github.com/earthcube/earthcube,EarthCube Office,"Top level repository for EC initiatives. The gh-pages branch contains content for https://earthcube.github.io/earthcube/, and is the default branch for this repository. 0 Releases. ","Stephen Richard, Craig Willis, David Valentine, Kenton McHenry",3/12/2021,git://github.com/earthcube/earthcube.git,,
EarthCube,application,earthcube,https://github.com/chrismattmann/earthcube,Computational Infrastructure for Geodynamics,"A set of scripts to perform information retrieval and crawling of the Computational Infrastructure for Geodynamics website, and to automatically run code analysis on that model repository.  Work sponsored by the National Science Foundation funded project ICER-1343800.","Chris Mattmann, jihyunoh",2015-04-07T05:39:31Z,git://github.com/chrismattmann/earthcube.git,,
2021 EarthCube Annual Meeting,Notebook,earthcube_notebook,https://github.com/yeshancqcq/earthcube_notebook,Macrostrat,A Python notebook for extracting and manipulating Macrostrat data. This notebook is submitted for the 2021 EarthCube Annual Meeting.,Shan Ye,2021-06-29T20:50:55Z,git://github.com/yeshancqcq/earthcube_notebook.git,,
GeoCODES,Notebook,earthcube_utilities,https://github.com/earthcube/earthcube_utilities,EarthCube Office,Utility code for minipulating (meta)data in NoteBooks from GeoCODES search. Code to create parameterized NoteBook gists (from a template) for opening in colab,"Mike Bobak, David Valentine",2021-11-16T05:06:55Z,git://github.com/earthcube/earthcube_utilities.git,,
2020 EarthCube Annual Meeting,Notebook,Earth-Cube-2020,https://github.com/roxyboy/Earth-Cube-2020,EarthCube Office,"Diagnosing submesoscale mode water formation in eNATL60; notebooks to calculate the submesoscale potential vorticity flux terms Mode-water_Jfluxes.ipynb via the parametrization proposed by Wenegrat et al. (2013) to diagnose the relative contribution of surface forcing on mode water formation in the Gulf Stream region. The tidally-forced North Atlantic simulation (eNATL60) we analyze has the horizontal resolution of 1/60 with 300 vertical layers, which allows for well formed mesoscale eddies and partially resolves the submesoscales. The results are plotted in Jflux_outputs.ipynb.",Takaya Uchida,2020-05-13T18:13:02Z,git://github.com/roxyboy/Earth-Cube-2020.git,,
2020 EarthCube Annual Meeting,Notebook,earthcube2020_cloud_storage,https://github.com/rabernat/earthcube2020_cloud_storage,Pangeo,"Example gallery repo for the Pangeo Gallery. It is configured to automatically build itself using binderbot. It is linked, via a git submodule, the the gallery website repo. Whenever the notebooks are updated in this, repository dispatch is used to trigger a gallery rebuild. This keeps gallery.pangeo.io always in sync with this repo.  The repo contains the following elements: -- A set of jupyter notebooks, numbered in the order that we want them to appear on the gallery website; -- A configuration file, binder-gallery.yaml, which provides important configuration parameters (see pangeo gallery documentation); -- A thumbnail image (thumbnail.png), a 200 x 200 px image which represents the gallery content; --Github workflows, which make the magic happen! (Don't touch these.)",Ryan Abernathey ,2020-06-17T13:37:05Z,git://github.com/rabernat/earthcube2020_cloud_storage.git,,
2020 EarthCube Annual Meeting,Notebook,earthcube2020_cmip6_xgcm,https://github.com/jbusecke/earthcube2020_cmip6_xgcm,Pangeo,"ec20_busecke_etal: CMIP6 without the interpolation: Grid-native analysis with Pangeo in the cloud. Demonstrates two pangeo tools which enable seamless calculation of common operations like vector calculus operators (grad, curl, div) and weighted averages/integrals across a wide range of CMIP6 models directly on the data stored in the cloud. cmip6_preprocessing provides numerous tools to unify naming conventions and parse grid information and metrics (like cell area). This information is used by xgcm to enable finite volume analysis on the native model grids. The combination of both tools facilitates fast analysis while ensuring a reproducible and accurate workflow.","Julius Busecke, Ryan Abernathey ",2020-06-15T05:15:44Z,git://github.com/jbusecke/earthcube2020_cmip6_xgcm.git,,
2021 EarthCube Annual Meeting,,EarthCube2021,https://github.com/OGGM/EarthCube2021,Open Global Glacier Model,"OGGM-Edu notebook submitted to the 2021 EarthCube meeting. OGGM-Edu is an educational platform about glaciers, powered by Open Global Glacier Model (OGGM) and MyBinder.  This notebook illustrates how OGGM-Edu can be used to learn and teach about glaciers. ","Fabien Maussion, Erik Holmgren, Lindsey Nicholson, Lizz Ultee, Zora Schirmeister, Patrick Schmitt, Lilian Schuster",2021-06-11T17:54:06Z,git://github.com/OGGM/EarthCube2021.git,,
2021 EarthCube Annual Meeting,Notebook,EarthCube2021,https://github.com/geoedf/EarthCube2021,Extensible Geospatial Data Framework for FAIR ,"GeoEDF EarthCube 2021 Demo Jupyter Notebooks. Contains demonstration of the Geospatial Extensible Data Framework (GeoEDF).  GeoEDF is a Python-based extensible data framework designed to simplify data wrangling in geospatial research workflows. GeoEDF enables researchers to define scientific workflows as a logical sequence of data acquisition and processing steps. Reusable building blocks termed data connectors and data processors implement data acquisition from various repositories using various data access protocols, and a range of domain-agnostic or domain-specific geospatial processing operations respectively. These open source connectors and processors are community contributed and managed in the GeoEDF GitHub repositories. A CI/CD pipeline automatically packages these connectors and processors as Singularity containers in order to manage their respective software dependencies. Researchers can use any of these existing connectors or processors; or else build and contribute their own for use in their workflows or by others.",Rajesh Kalyanam,2021-06-11T17:54:06Z,git://github.com/geoedf/EarthCube2021.git,,
DRILSDOWN project B Mapes,Notebook,EarthCube-DRILSDOWN,https://github.com/brianmapes/EarthCube-DRILSDOWN,EarthCube DRILSDOWN ,"Documentation at https://unidata.github.io/drilsdown/.  DRILSDOWN is a suite of software tools for geo-science (especially meteorology and oceanography). Our goal is to make 3D multi-variable visualization easier and more scientific, through: 1) Plugins, templates, and tools for The Integrated Data Viewer (IDV, an advanced Java application); 2) Jupyter notebook tools connecting The IDV to iPython (or to its own kernel), with ability to capture IDV images and animations, as well as full IDV states for replicability and ability to push and pull digital data between IDV and iPython; 3) RAMADDA repository tools for displaying and publishing DRILSDOWN Case Studies.   Repo contain iPython notebooks. Looks like this is a fork of the unidata repo, last merge was 2018-06-15 then superceded by https://github.com/Unidata/drilsdown. 0 Releases.","Brian Mapes, Suvarchal Kumar Cheedela",2018-06-19T01:20:14Z,git://github.com/brianmapes/EarthCube-DRILSDOWN.git,,
OceanLink project,application,earthcube-EAGER,https://github.com/narock/earthcube-EAGER,EarthCube OceanLink,"Software associated with EarthCube EAGER project (OceanLink??). 	Working version of oceanlink pattern code. Java. 0 Releases. No Readme content.",Tom Narok,2014-05-27T16:57:38Z,git://github.com/narock/earthcube-EAGER.git,,
GeoCODES,Notebook,EarthCubeGraphAnalytics,https://github.com/fils/EarthCubeGraphAnalytics,EarthCube Office,A simple repo holding some notebooks related to doing graph analytics on the EarthCube CDF Graph. This graph is generated by collecting JSON-LD documents from the CDF data facilties via Gleaner.  This is just the start of learning what we might be able to do with some analytics approaches to this graph.  References: https://derwen.ai/docs/kgl/,Doug Fils,2021-05-27T14:47:01Z,git://github.com/fils/EarthCubeGraphAnalytics.git,,
2021 EarthCube Annual Meeting,,Earthcube-Meeting-2021,https://github.com/AMGeO-Collaboration/Earthcube-Meeting-2021,AmGEO,"This notebook showcases the new  Assimilative Mapping of Geospace Observations (AMGeO) API,  intended to further facilitate the ease of use with AMGeO for users with different levels of experience.  AMGeO is a data science tool for the geospace community that combines observations from various sensors into assimilative maps of the high-latitude ionosphere. With the support from the NSF EarthCube program, AMGeO is set out to open up the large amount of information-rich geospace data to a broader audience, while also giving users an access to data analysis tools that help gain meaningful insights from a collection of geospace data.  For more information on AMGeO and how to get started, please visit our website: https://amgeo.colorado.edu/","Liam Kilcommons, Willem Mirkovich",2021-05-26T20:53:21Z,git://github.com/AMGeO-Collaboration/Earthcube-Meeting-2021.git,,
2020 EarthCube Annual Meeting,Notebook,EarthCube-Notebook,https://github.com/cybergis/EarthCube-Notebook,Hydroshare,"Reproducible Hydrological Modeling with CyberGIS-Jupyter For Water (CJW) and HydroShare.  CyberGIS-Jupyter for Water (CJW), leveraging the cyberGIS software ecosystem, is integrated with HydroShare. CJW provides a collaborative platform for enabling computationally intensive and reproducible hydrologic research by delivering advanced cyberinfrastructure and cyberGIS capabilities based on high-performance computing (HPC) resources such as Virtual ROGER and XSEDE Comet. The Structure For Unifying Multiple Modeling Alternatives (SUMMA), which is a hydrological modeling framework, allows for formal evaluation of multiple working hypotheses on model representations of physical processes. This CyberGIS-Jupyter notebook illustrates specific support for a SUMMA model on top of the cutting-edge hydrologic modeling capabilities on CJW. By taking advantage of CJW, users can easily tune different parameters for a SUMMA model and submit computationally intensive High-Throughput Computing (HTC) jobs for executing the model on HPC resources via Jupyter notebooks without having to possess in-depth technical knowledge about cyberGIS or HydroShare. Computational experiments demonstrate that the integration of cyberGIS capabilities and HydroShare achieves a high-performance and easy-to-use environment for reproducible SUMMA-based hydrological modeling.","Fangzheng Lyu, Zhiyu Li, Anand Padmanabhan, Shaowen Wang, Youngdon Choi, Jonathan Goodall, Andrew Bennett, Bart Nijssen, David Tarboton",2020-05-22T18:53:51Z,git://github.com/cybergis/EarthCube-Notebook.git,,
EarthCube investigator networks,Application,EC_Network,https://github.com/SimonGoring/EC_Network,EarthCube Office,"Building a large network for EarthCube related proposals and all NSF grants using neo4j.  This repository is used to build and analyze a large graph database (using neo4j). The intent is to use this database for analysis to examine the impact of EarthCube on investigator networks. There are two components. One to build the database, and one to analyze the constructed database.   Docker, R Markdown, Cyverse, CQL. 0 Releases.",Simon Goring,2017-12-20T22:19:02Z,git://github.com/SimonGoring/EC_Network.git,,
Throughput,template,ec_workshops,https://github.com/throughput-ec/ec_workshops,Throughput,Template for EarthCube-related notebook-construction workshops/hackathons,Socorro Dominguez Vidana,2021-11-04T22:53:52Z,git://github.com/throughput-ec/ec_workshops.git,,
2021 EarthCube Annual Meeting,Notebook,EC2021_autogluon_notebook,https://github.com/sxjscience/EC2021_autogluon_notebook,,"Notebook that demonstrates AutoGluon (Notebook submission to EarthCube 2021). AutoGluon a set of tools to automates machine learning for Text, Image, and Tabular Data, From Amazon Web services labs. With AutoGluon, you can feed in the raw data table and specify the label column. AutoGluon will deliver a model that has reasonable performance in a short period of time. In addition, with AutoGluon, you can also analyze the importance of each feature column with a single line of code. In the following, we illustrate how to use AutoGluon to build machine learning models for two Earth Science problems.  Notebook example  trains a model for Forest Cover Type Prediction and Solar Radiation Prediction. ",Xingjian Shi,2021-05-17T03:15:47Z,git://github.com/sxjscience/EC2021_autogluon_notebook.git,,
2021 EarthCube Annual Meeting,Notebook,ec2021_balwada_etal,https://github.com/dhruvbalwada/ec2021_balwada_etal,,"Interactive visualization tools for ocean glider data. Submission to EarthCube call for notebooks 2021.  Demonstrates how Python’s Holoviz visualization ecosystem (https://holoviz.org/) can be coupled with the glider data analysis toolbox GliderTools (https://glidertools.readthedocs.io) to rapidly generate interactive dashboards to explore glider datasets. The tools and code presentation in the jupyter notebook have been developed with the purpose of ease of use and portability, and they can easily be modified to new datasets and analysis/visualization needs. The resulting datasets contain measurements of physical variables, such as temperature, salinity, velocity, as well as biogeochemical variables, such as oxygen, nutrients, chlorophyll, at scales where the variability is generated by mesoscale and submesoscale flows (1-100 km scales). ","Dhruv Balwada, Scott Henderson, & Alison Gray",2021-06-11T00:29:10Z,git://github.com/dhruvbalwada/ec2021_balwada_etal.git,,
2021 EarthCube Annual Meeting,Notebook,EC2021_Martin_et_al,https://github.com/paigem/EC2021_Martin_et_al,Pangeo,"Frequency-domain analysis of large datasets.  Repo for EarthCube 2021. In this notebook, we show an example workflow for performing frequency-domain analysis on large datasets in the Pangeo Cloud environment. Specifically, we compute the terms in the surface spectral temperature variance budget of a 0.1˚ horizontal resolution global ocean model with daily output. This analysis involves the computation of cross spectra to yield processed data in the frequency (rather than the time) domain. To compute a frequency-domain Fourier transform, we need information from the entire time series and thus cannot work with data that is chunked in time. Hence, this workflow first requires a complete rechunking of the data (using the Rechunker package) from global snapshots to spatially chunked time series. We then compute the Fourier transform on this rechunked data to obtain output in frequency space. Although computationally intensive, we are able to carry out this computation using distributed computing via Dask Gateway and adaptive scaling of the Dask cluster.","Paige Martin, Ryan Abernathy",2021-11-10T04:14:12Z,git://github.com/paigem/EC2021_Martin_et_al.git,,
EarthCube Metrics presentation 2018,Presentation,ECAHM_Metrics,https://github.com/SimonGoring/ECAHM_Metrics,EarthCube Office,"A repository for the EarthCube All Hands Meeting Metrics Presentation; This repository contains a presentation, made using reveal.js for the EarthCube All Hands Meeting in Arlington, VA, June 2018. The presentation can be run using any browser, either by pointing the browser to goring.org, or by cloning the repository and opening the index.html file locally. 0 Releases","Simon Goring, Hakim El Hattab, 
Jens Lechtenbörger, ",2018-10-11T01:37:01Z,git://github.com/SimonGoring/ECAHM_Metrics.git,,
2020 EarthCube Annual Meeting,Notebook,EC-Argovis-API-Demo,https://github.com/tylertucker202/EC-Argovis-API-Demo,ArgoVIS,"Demonstration of Argovis Python API - For Earthcube 2020 meeting. This notebook will guide a python user to:  1. Query a specific profile using its id, designated by its platform (WMO) number with its cycle number, connected by an underscore. For example '3900737_9'      2. Query a specified platform by number. Example '3900737'.   3.1 Query profiles within a given shape, date range, and pressure range.  3.2 Query profiles position, date, and cycle number within month and year (globally).  4. Plot query results  5. Create time series for a selected region and set of dates.   6. Query database using a gridded scheme   7. Overlay Atmospheric Rivers on the map.    Argo  (http://www.argo.ucsd.edu/index.html) is a network of profiling floats that provide real-time data of temperature T, salinity S, and pressure P for the global ocean to a depth of 2000 dbar, with Deep Argo floats going down to 6000-dbar depth. ",Tyler Tucker,2021-08-23T20:44:41Z,git://github.com/tylertucker202/EC-Argovis-API-Demo.git,,
Advancing netCDF-CF Project,Specification development,EC-netCDF-CF,https://github.com/Unidata/EC-netCDF-CF,EarthCube Advancing netCDF-CF for the Geoscience Community,"EarthCube: Advancing netCDF-CF Project. Project goal is to 1) increase the range of geoscience domains using netCDF-CF and active in the community; 2) extend the netCDF-CF standard to support data from a wider range of geoscience domains; and 3) Collaborate with other standards groups such as the OGC, ESIP, RDA, and NASA ESDS.  The project will gather scientific use-cases and example datasets to guide the drafting of documents detailing enhancements to the CF standard. Close collaboration with the existing netCDF-CF community and engagement with new geoscience domains as well as other standards groups will lead to strong community agreement around the proposed enhancements.  Repo contains proposals for CF conventions.  0 releases.","Aleksandar Jelenak, Ethan Davis, dasantek, Charlie Zender, Tim Whiteaker, Ryan May, Daniel Lee",2018-06-19T15:23:27Z,git://github.com/Unidata/EC-netCDF-CF.git,,
EarthCube office Trello scraper,application,ecproject-trello-parser,https://github.com/earthcubearchitecture-ecprojects/ecproject-trello-parser,EarthCube office,"Programming and Database to harvest EC Project information from Trello. Implementation: php, data is in a JSON file. Code extracts content from JSON, and  executes a bunch of SQL to insert data into a database. 0 Releases. No Readme",Eric Lingerfelt,4/2/2018,https://github.com/earthcubearchitecture-ecprojects/ecproject-trello-parser.git,,
Earthcube resource registry ontology (ECCRO),ontology,ecrro,https://github.com/earthcubearchitecture-ecresourcereg/ecrro,EarthCube Office,"EarthCube Resource Registry Ontology; This ontology defines classes for description of information resources documented in the EarthCube Resource Registry.  See https://www.earthcube.org/resource_registry for project information.  Ontology documentation provided by Widico at https://earthcubearchitecture-ecresourcereg.github.io/ecrro/index-en.html.  Includes directories with documentation, OWL encoding, and example instance documents. 2 Releases","Stephen Richard, Ruth Duerr, Ilya Zaslavsky",2020-07-08T00:53:28Z,git://github.com/earthcubearchitecture-ecresourcereg/ecrro.git,,
Ensemble Toolkit (EnTK) experiments for IPDPS 2017,Notebook,entk-experiments,https://github.com/radical-experiments/entk-experiments/,EarthCube Ensemble Toolkit for Earth Sciences,"This repository contains all the EnTK scripts + input data, notebooks, resulting plots. The raw data consisting of all the profiles are kept in the tarballs. All contents of this repository pertain to the work done for the IPDPS 2017 conference. 1 Release.",Vivek Balasubramanian (vivek.balasubramanian@rutgers.edu),12/21/2017,https://github.com/radical-experiments/entk-experiments.git,,
GeoCODES,application,Fence,https://github.com/earthcubearchitecture-project418/fence,EarthCube Office,"Fence is a tool designed to allow people to evaluate structured data graphs against various validations (such at the Tangram SHACL service), tools and interface components. It also provides links to the Google Structured Data Testing Tool and the JSON-LD Playground.  A set of web components are also loaded and attempt to parse the JSON-LD data graph to testing approaches to mapping, citation generation and other views into the data graph. This is done to provide examples of how providers can further leverage their data graphs in the generation of data set landing pages. 0 Releases.",Doug Fils,3/19/2020,https://github.com/earthcubearchitecture-project418/fence.git,,
Digital Crust ScienceBase file picker,application,file-picker,https://github.com/digitalcrust/file-picker,EarthCube Digital Crust,"Picks files from ScienceBase Catalog to move files to AWS S3,  send through a processing pipeline.  Built using example in redux docs: http://rackt.github.io/redux/docs/advanced/ExampleRedditAPI.html.  Project based on: https://github.com/gaearon/react-transform-boilerplate.  Javascript, Dockerfiles.  0 Releases.",Derek J. Williams,4/14/2017,https://github.com/digitalcrust/file-picker.git,,
Data Discovery Studio (CINERGI) metadata pipeline,Deployed application,Foundry,https://github.com/CINERGI/Foundry,EarthCube Data Discovery Studio (CINERGI),"Software for Pipeline processing of  ISO19139 metadata to run CINERGI enhancers, and load content to Elastic Search index; forked from . The system consists of a dispatcher, a consumer head and a CLI manager interface. The dispatcher listens to the MongoDB changes and using its configured workflow dispatches messages to the message queue for the listening consumer head(s). The consumer head coordinates a set of configured consumers that do a prefined operation of a document indicated by the message they receive from the dispatcher and ingestors. The ingestors are specialized consumers that are responsible for the retrieval of the original data as configured by harvest descriptor JSON file of the corresponding source. They are triggered by the manager application.  Java implementation, based on https://github.com/SciCrunch/Foundry. 0 Releases.","Burak Ozyurt, David Valentine, Adam Schachne",12/18/2019,https://github.com/CINERGI/Foundry.git,,
Data Discovery Studio (CINERGI) Dockerized  Foundry pipeline,Deployed application,foundry-docker,https://github.com/CINERGI/foundry-docker,EarthCube Data Discovery Studio (CINERGI),"This project bundles all prerequisites needed to run the foundry pipeline, management interface and web services interface in a Docker composition. The docker-compose.yml creates several containers.  Service dependencies ** Mongodb ** ServiceBus ** *GEOPORTAL one running Tomcat with the [geoportal-server-catalog] (https://github.com/Esri/geoportal-server-catalog) and the geoportal-harvester. The second container provides the Elasticsearch server for storing and indexing the data stored in the catalog server. 0 Releases.",David Valentine,1/27/2020,https://github.com/CINERGI/foundry-docker.git,,
